Municipios;Fenómeno demográfico;Total
07002 Alaior;nacidos vivos por residencia materna;70
07002 Alaior;muertes fetales tardías por residencia materna;0
07002 Alaior;matrimonios por el lugar en que han fijado residencia;27
07002 Alaior;fallecidos por el lugar de residencia;64
07002 Alaior;crecimiento vegetativo;6
07001 Alaró;nacidos vivos por residencia materna;47
07001 Alaró;muertes fetales tardías por residencia materna;0
07001 Alaró;matrimonios por el lugar en que han fijado residencia;16
07001 Alaró;fallecidos por el lugar de residencia;39
07001 Alaró;crecimiento vegetativo;8
07003 Alcúdia;nacidos vivos por residencia materna;178
07003 Alcúdia;muertes fetales tardías por residencia materna;2
07003 Alcúdia;matrimonios por el lugar en que han fijado residencia;43
07003 Alcúdia;fallecidos por el lugar de residencia;108
07003 Alcúdia;crecimiento vegetativo;70
07004 Algaida;nacidos vivos por residencia materna;58
07004 Algaida;muertes fetales tardías por residencia materna;1
07004 Algaida;matrimonios por el lugar en que han fijado residencia;18
07004 Algaida;fallecidos por el lugar de residencia;52
07004 Algaida;crecimiento vegetativo;6
07005 Andratx;nacidos vivos por residencia materna;109
07005 Andratx;muertes fetales tardías por residencia materna;1
07005 Andratx;matrimonios por el lugar en que han fijado residencia;40
07005 Andratx;fallecidos por el lugar de residencia;103
07005 Andratx;crecimiento vegetativo;6
07901 Ariany;nacidos vivos por residencia materna;6
07901 Ariany;muertes fetales tardías por residencia materna;0
07901 Ariany;matrimonios por el lugar en que han fijado residencia;2
07901 Ariany;fallecidos por el lugar de residencia;7
07901 Ariany;crecimiento vegetativo;-1
07006 Artà;nacidos vivos por residencia materna;57
07006 Artà;muertes fetales tardías por residencia materna;0
07006 Artà;matrimonios por el lugar en que han fijado residencia;12
07006 Artà;fallecidos por el lugar de residencia;65
07006 Artà;crecimiento vegetativo;-8
07007 Banyalbufar;nacidos vivos por residencia materna;3
07007 Banyalbufar;muertes fetales tardías por residencia materna;0
07007 Banyalbufar;matrimonios por el lugar en que han fijado residencia;3
07007 Banyalbufar;fallecidos por el lugar de residencia;2
07007 Banyalbufar;crecimiento vegetativo;1
07008 Binissalem;nacidos vivos por residencia materna;62
07008 Binissalem;muertes fetales tardías por residencia materna;1
07008 Binissalem;matrimonios por el lugar en que han fijado residencia;26
07008 Binissalem;fallecidos por el lugar de residencia;59
07008 Binissalem;crecimiento vegetativo;3
07009 Búger;nacidos vivos por residencia materna;10
07009 Búger;muertes fetales tardías por residencia materna;0
07009 Búger;matrimonios por el lugar en que han fijado residencia;4
07009 Búger;fallecidos por el lugar de residencia;10
07009 Búger;crecimiento vegetativo;0
07010 Bunyola;nacidos vivos por residencia materna;50
07010 Bunyola;muertes fetales tardías por residencia materna;0
07010 Bunyola;matrimonios por el lugar en que han fijado residencia;15
07010 Bunyola;fallecidos por el lugar de residencia;55
07010 Bunyola;crecimiento vegetativo;-5
07011 Calvià;nacidos vivos por residencia materna;340
07011 Calvià;muertes fetales tardías por residencia materna;4
07011 Calvià;matrimonios por el lugar en que han fijado residencia;112
07011 Calvià;fallecidos por el lugar de residencia;294
07011 Calvià;crecimiento vegetativo;46
07012 Campanet;nacidos vivos por residencia materna;20
07012 Campanet;muertes fetales tardías por residencia materna;0
07012 Campanet;matrimonios por el lugar en que han fijado residencia;9
07012 Campanet;fallecidos por el lugar de residencia;30
07012 Campanet;crecimiento vegetativo;-10
07013 Campos;nacidos vivos por residencia materna;100
07013 Campos;muertes fetales tardías por residencia materna;0
07013 Campos;matrimonios por el lugar en que han fijado residencia;37
07013 Campos;fallecidos por el lugar de residencia;85
07013 Campos;crecimiento vegetativo;15
07014 Capdepera;nacidos vivos por residencia materna;109
07014 Capdepera;muertes fetales tardías por residencia materna;1
07014 Capdepera;matrimonios por el lugar en que han fijado residencia;29
07014 Capdepera;fallecidos por el lugar de residencia;94
07014 Capdepera;crecimiento vegetativo;15
07064 Castell, Es;nacidos vivos por residencia materna;41
07064 Castell, Es;muertes fetales tardías por residencia materna;0
07064 Castell, Es;matrimonios por el lugar en que han fijado residencia;14
07064 Castell, Es;fallecidos por el lugar de residencia;42
07064 Castell, Es;crecimiento vegetativo;-1
07015 Ciutadella de Menorca;nacidos vivos por residencia materna;208
07015 Ciutadella de Menorca;muertes fetales tardías por residencia materna;0
07015 Ciutadella de Menorca;matrimonios por el lugar en que han fijado residencia;92
07015 Ciutadella de Menorca;fallecidos por el lugar de residencia;219
07015 Ciutadella de Menorca;crecimiento vegetativo;-11
07016 Consell;nacidos vivos por residencia materna;35
07016 Consell;muertes fetales tardías por residencia materna;0
07016 Consell;matrimonios por el lugar en que han fijado residencia;17
07016 Consell;fallecidos por el lugar de residencia;25
07016 Consell;crecimiento vegetativo;10
07017 Costitx;nacidos vivos por residencia materna;14
07017 Costitx;muertes fetales tardías por residencia materna;0
07017 Costitx;matrimonios por el lugar en que han fijado residencia;11
07017 Costitx;fallecidos por el lugar de residencia;8
07017 Costitx;crecimiento vegetativo;6
07018 Deiá;nacidos vivos por residencia materna;5
07018 Deiá;muertes fetales tardías por residencia materna;0
07018 Deiá;matrimonios por el lugar en que han fijado residencia;1
07018 Deiá;fallecidos por el lugar de residencia;4
07018 Deiá;crecimiento vegetativo;1
07026 Eivissa;nacidos vivos por residencia materna;434
07026 Eivissa;muertes fetales tardías por residencia materna;1
07026 Eivissa;matrimonios por el lugar en que han fijado residencia;98
07026 Eivissa;fallecidos por el lugar de residencia;315
07026 Eivissa;crecimiento vegetativo;119
07019 Escorca;nacidos vivos por residencia materna;3
07019 Escorca;muertes fetales tardías por residencia materna;0
07019 Escorca;matrimonios por el lugar en que han fijado residencia;0
07019 Escorca;fallecidos por el lugar de residencia;0
07019 Escorca;crecimiento vegetativo;3
07020 Esporles;nacidos vivos por residencia materna;35
07020 Esporles;muertes fetales tardías por residencia materna;0
07020 Esporles;matrimonios por el lugar en que han fijado residencia;14
07020 Esporles;fallecidos por el lugar de residencia;45
07020 Esporles;crecimiento vegetativo;-10
07021 Estellencs;nacidos vivos por residencia materna;1
07021 Estellencs;muertes fetales tardías por residencia materna;0
07021 Estellencs;matrimonios por el lugar en que han fijado residencia;0
07021 Estellencs;fallecidos por el lugar de residencia;3
07021 Estellencs;crecimiento vegetativo;-2
07022 Felanitx;nacidos vivos por residencia materna;186
07022 Felanitx;muertes fetales tardías por residencia materna;1
07022 Felanitx;matrimonios por el lugar en que han fijado residencia;42
07022 Felanitx;fallecidos por el lugar de residencia;172
07022 Felanitx;crecimiento vegetativo;14
07023 Ferreries;nacidos vivos por residencia materna;39
07023 Ferreries;muertes fetales tardías por residencia materna;0
07023 Ferreries;matrimonios por el lugar en que han fijado residencia;13
07023 Ferreries;fallecidos por el lugar de residencia;30
07023 Ferreries;crecimiento vegetativo;9
07024 Formentera;nacidos vivos por residencia materna;91
07024 Formentera;muertes fetales tardías por residencia materna;1
07024 Formentera;matrimonios por el lugar en que han fijado residencia;28
07024 Formentera;fallecidos por el lugar de residencia;52
07024 Formentera;crecimiento vegetativo;39
07025 Fornalutx;nacidos vivos por residencia materna;4
07025 Fornalutx;muertes fetales tardías por residencia materna;0
07025 Fornalutx;matrimonios por el lugar en que han fijado residencia;1
07025 Fornalutx;fallecidos por el lugar de residencia;3
07025 Fornalutx;crecimiento vegetativo;1
07027 Inca;nacidos vivos por residencia materna;334
07027 Inca;muertes fetales tardías por residencia materna;0
07027 Inca;matrimonios por el lugar en que han fijado residencia;71
07027 Inca;fallecidos por el lugar de residencia;246
07027 Inca;crecimiento vegetativo;88
07028 Lloret de Vistalegre;nacidos vivos por residencia materna;16
07028 Lloret de Vistalegre;muertes fetales tardías por residencia materna;0
07028 Lloret de Vistalegre;matrimonios por el lugar en que han fijado residencia;2
07028 Lloret de Vistalegre;fallecidos por el lugar de residencia;12
07028 Lloret de Vistalegre;crecimiento vegetativo;4
07029 Lloseta;nacidos vivos por residencia materna;58
07029 Lloseta;muertes fetales tardías por residencia materna;0
07029 Lloseta;matrimonios por el lugar en que han fijado residencia;17
07029 Lloseta;fallecidos por el lugar de residencia;44
07029 Lloseta;crecimiento vegetativo;14
07030 Llubí;nacidos vivos por residencia materna;24
07030 Llubí;muertes fetales tardías por residencia materna;0
07030 Llubí;matrimonios por el lugar en que han fijado residencia;10
07030 Llubí;fallecidos por el lugar de residencia;23
07030 Llubí;crecimiento vegetativo;1
07031 Llucmajor;nacidos vivos por residencia materna;277
07031 Llucmajor;muertes fetales tardías por residencia materna;3
07031 Llucmajor;matrimonios por el lugar en que han fijado residencia;98
07031 Llucmajor;fallecidos por el lugar de residencia;218
07031 Llucmajor;crecimiento vegetativo;59
07033 Manacor;nacidos vivos por residencia materna;445
07033 Manacor;muertes fetales tardías por residencia materna;0
07033 Manacor;matrimonios por el lugar en que han fijado residencia;81
07033 Manacor;fallecidos por el lugar de residencia;341
07033 Manacor;crecimiento vegetativo;104
07034 Mancor de la Vall;nacidos vivos por residencia materna;13
07034 Mancor de la Vall;muertes fetales tardías por residencia materna;0
07034 Mancor de la Vall;matrimonios por el lugar en que han fijado residencia;8
07034 Mancor de la Vall;fallecidos por el lugar de residencia;10
07034 Mancor de la Vall;crecimiento vegetativo;3
07032 Maó-Mahón;nacidos vivos por residencia materna;239
07032 Maó-Mahón;muertes fetales tardías por residencia materna;1
07032 Maó-Mahón;matrimonios por el lugar en que han fijado residencia;88
07032 Maó-Mahón;fallecidos por el lugar de residencia;189
07032 Maó-Mahón;crecimiento vegetativo;50
